,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,zipcode,lat,long
6455,313300.0,2,1.0,970,4800,1.0,0.0,0.0,3,6,98116,47.5754,-122.414
6457,188000.0,3,1.75,1660,7350,1.0,0.0,0.0,2,8,98023,47.3118,-122.337
6458,755000.0,3,2.5,3680,203860,1.5,0.0,0.0,3,9,98014,47.6903,-121.929
6459,1290000.0,5,3.5,3210,4060,2.0,0.0,2.0,3,10,98117,47.6801,-122.35700000000001
6462,550000.0,3,2.25,1700,1481,3.0,0.0,0.0,3,8,98103,47.6598,-122.34899999999999
6463,260000.0,3,1.75,1680,8725,1.0,0.0,0.0,3,8,98023,47.3107,-122.397
6464,320000.0,3,2.0,1550,34175,1.5,0.0,0.0,3,7,98045,47.4855,-121.698
6465,1150000.0,3,3.25,3780,10623,1.0,0.0,1.0,3,11,98006,47.5506,-122.101
6466,362000.0,4,2.5,2360,7370,1.0,0.0,0.0,3,7,98125,47.7201,-122.30799999999999
6467,503500.0,3,2.5,1810,1750,2.0,0.0,0.0,3,7,98199,47.6513,-122.38600000000001
6468,653000.0,3,2.5,2290,3475,2.0,0.0,0.0,3,9,98029,47.5551,-122.001
6469,760000.0,4,2.75,3370,12447,2.0,0.0,0.0,3,10,98077,47.7309,-122.05799999999999
6470,775000.0,4,1.75,2090,5050,1.0,0.0,0.0,4,7,98117,47.6802,-122.35799999999999
6471,1340000.0,4,3.75,2130,34689,1.5,1.0,4.0,3,9,98136,47.5489,-122.398
6472,417500.0,5,1.75,2060,10911,1.0,0.0,0.0,4,7,98177,47.7767,-122.365
6473,525000.0,3,1.5,1560,9350,1.0,0.0,0.0,4,7,98052,47.6729,-122.148
6474,217000.0,2,1.0,730,2400,1.0,0.0,1.0,3,4,98198,47.35,-122.322
6475,525000.0,4,2.75,2910,6308,1.0,0.0,0.0,3,8,98011,47.7352,-122.20100000000001
6477,525000.0,4,1.75,1710,10440,1.0,0.0,0.0,4,7,98006,47.5756,-122.15799999999999
6478,425500.0,4,1.75,1520,10630,1.0,0.0,0.0,4,7,98034,47.7347,-122.193
6479,710000.0,3,2.75,2930,218235,2.0,0.0,2.0,3,8,98024,47.5481,-121.88600000000001
6480,545000.0,4,3.0,3160,10948,1.0,0.0,3.0,3,8,98070,47.3733,-122.42200000000001
6482,245000.0,3,2.25,1700,8100,1.0,0.0,0.0,3,7,98038,47.3601,-122.046
6483,194900.0,2,1.0,810,6697,1.0,0.0,0.0,4,6,98002,47.3057,-122.21600000000001
6484,284000.0,4,2.5,2000,5390,2.0,0.0,0.0,3,7,98042,47.3732,-122.12899999999999
6485,280000.0,2,1.75,1894,52769,1.5,0.0,0.0,4,6,98001,47.3088,-122.273
6486,280000.0,3,1.75,2080,87991,1.0,0.0,0.0,3,6,98014,47.6724,-121.865
6487,360000.0,4,2.0,1730,5500,1.0,0.0,0.0,5,7,98106,47.5304,-122.353
6489,865000.0,4,2.5,3560,13981,2.0,0.0,0.0,3,10,98075,47.6002,-121.98
6490,483300.0,4,2.0,1210,11100,1.0,0.0,0.0,4,7,98006,47.5747,-122.145
6491,355000.0,4,2.5,2130,9268,2.0,0.0,0.0,4,8,98092,47.262,-122.22
6492,274950.0,3,2.25,1570,8767,1.0,0.0,0.0,3,7,98038,47.3568,-122.038
6495,1940000.0,4,5.75,7220,223462,2.0,0.0,4.0,3,12,98053,47.7097,-122.01299999999999
6496,309212.0,3,1.75,1150,9600,1.0,0.0,0.0,3,7,98045,47.4434,-121.774
6497,219950.0,3,2.25,1500,7615,1.0,0.0,0.0,3,7,98023,47.3146,-122.351
6498,690000.0,3,2.5,1300,5150,1.5,0.0,0.0,4,7,98117,47.6838,-122.36200000000001
6499,250800.0,3,1.75,1290,4000,1.0,0.0,0.0,3,6,98106,47.5309,-122.354
6500,557500.0,3,2.0,2510,35255,1.0,0.0,2.0,3,9,98038,47.4012,-122.025
6501,941000.0,4,1.75,2320,3825,1.5,0.0,0.0,5,8,98105,47.6659,-122.32700000000001
6502,3650000.0,6,4.75,5480,19401,1.5,1.0,4.0,5,11,98105,47.6515,-122.277
6503,305000.0,4,2.75,2030,8600,1.0,0.0,0.0,4,7,98042,47.3942,-122.16
6504,815000.0,4,1.5,2060,16110,1.0,0.0,0.0,4,8,98004,47.5983,-122.20200000000001
6505,1020000.0,3,2.5,2920,34527,1.0,0.0,4.0,4,9,98116,47.5799,-122.4
6506,1240000.0,4,3.0,3330,6990,1.5,0.0,3.0,5,9,98144,47.5886,-122.287
6507,535000.0,3,2.5,2110,8164,2.0,0.0,0.0,3,9,98056,47.5269,-122.171
6508,775000.0,3,1.0,1175,10454,1.0,0.0,0.0,4,6,98004,47.6388,-122.21799999999999
6510,327000.0,2,1.0,1070,9750,1.0,0.0,0.0,3,7,98155,47.7532,-122.318
6511,560000.0,4,2.0,2720,8819,2.0,0.0,3.0,3,8,98003,47.338,-122.333
6512,1340000.0,4,3.5,2980,6349,2.0,0.0,3.0,3,9,98033,47.6819,-122.208
6513,199500.0,3,1.75,1160,5200,1.0,0.0,0.0,4,7,98042,47.3643,-122.09
6514,760000.0,4,2.5,3580,97574,2.0,0.0,0.0,3,9,98038,47.3901,-122.071
6515,439000.0,3,2.25,3020,6000,3.0,0.0,2.0,3,8,98108,47.5249,-122.319
6516,527000.0,4,2.25,2380,5250,1.0,0.0,0.0,4,7,98008,47.6164,-122.115
6517,199950.0,3,2.75,2270,13590,1.5,0.0,0.0,4,6,98022,47.2099,-122.001
6518,254000.0,3,2.25,1660,8188,2.0,0.0,0.0,4,7,98042,47.3766,-122.115
6519,393000.0,2,1.0,830,5000,1.0,0.0,0.0,4,7,98103,47.6914,-122.352
6520,585000.0,5,2.25,2480,12614,1.0,0.0,0.0,4,8,98011,47.7393,-122.2
6521,450000.0,2,2.0,1900,7740,1.0,0.0,0.0,4,7,98126,47.5227,-122.37200000000001
6522,565000.0,2,1.75,1670,4008,1.0,0.0,0.0,3,9,98029,47.5539,-122.001
6523,330000.0,5,2.25,2000,7900,1.0,0.0,0.0,4,7,98188,47.4291,-122.292
6524,870000.0,3,2.0,2320,65340,1.5,0.0,0.0,3,9,98074,47.6106,-122.055
6525,585000.0,4,2.5,1860,8117,1.0,0.0,0.0,4,8,98008,47.6228,-122.104
6527,225000.0,3,2.0,1400,7384,1.0,0.0,0.0,3,7,98058,47.4655,-122.17399999999999
6528,295000.0,3,2.0,1400,7384,1.0,0.0,0.0,3,7,98058,47.4655,-122.17399999999999
6529,775000.0,3,2.75,2850,14800,1.0,0.0,0.0,4,9,98006,47.559,-122.146
6530,280000.0,3,1.0,1370,11050,1.0,0.0,0.0,3,7,98045,47.4485,-121.77600000000001
6531,539000.0,3,2.5,2170,3200,1.5,0.0,0.0,5,7,98103,47.6543,-122.34700000000001
6532,567500.0,3,1.75,2570,14033,1.0,0.0,2.0,4,8,98166,47.4335,-122.338
6534,598200.0,5,3.75,2980,4635,3.0,0.0,0.0,3,8,98118,47.5508,-122.26799999999999
6535,610000.0,4,2.5,2300,10843,2.0,0.0,0.0,5,8,98033,47.6988,-122.20200000000001
6536,544900.0,3,2.5,1990,4936,2.0,0.0,0.0,3,8,98075,47.5911,-122.01799999999999
6537,557500.0,4,2.5,2390,38258,2.0,0.0,0.0,3,8,98072,47.7433,-122.094
6538,532500.0,3,2.5,2160,7500,1.0,0.0,1.0,3,7,98074,47.6188,-122.064
6539,1350000.0,4,3.25,3300,15907,2.0,0.0,0.0,5,10,98040,47.5413,-122.21600000000001
6541,530000.0,3,2.5,2030,10958,2.0,0.0,0.0,3,8,98052,47.7251,-122.11
6544,365000.0,3,1.75,1410,9150,1.0,0.0,0.0,5,7,98006,47.5683,-122.178
6545,615000.0,3,2.0,1860,42800,1.0,0.0,0.0,4,7,98075,47.5898,-122.00399999999999
6546,318400.0,4,2.5,1820,6916,2.0,0.0,0.0,3,7,98038,47.3862,-122.029
6548,450000.0,3,1.75,1540,7490,1.0,0.0,0.0,5,7,98034,47.7222,-122.177
6549,200000.0,3,2.0,1430,7905,1.0,0.0,0.0,4,7,98092,47.2757,-122.145
6550,234000.0,3,1.0,1010,8906,1.0,0.0,0.0,5,7,98042,47.3627,-122.10799999999999
6551,121800.0,2,1.0,940,8384,1.0,0.0,0.0,3,5,98146,47.5065,-122.36399999999999
6552,805000.0,3,2.75,2600,5875,1.5,0.0,2.0,5,8,98116,47.5773,-122.406
6553,410000.0,4,2.25,2060,7283,1.0,0.0,0.0,3,8,98155,47.7435,-122.31700000000001
6554,475000.0,3,2.5,1920,4534,2.0,0.0,0.0,3,8,98034,47.7144,-122.204
6555,1340000.0,4,2.5,2900,21074,2.0,0.0,0.0,3,11,98199,47.6696,-122.416
6556,269000.0,1,1.0,1020,7920,1.0,0.0,0.0,3,7,98106,47.5385,-122.355
6557,573000.0,4,2.25,2150,9520,2.0,0.0,0.0,4,8,98052,47.6885,-122.113
6558,330000.0,3,2.5,1660,2890,2.0,0.0,0.0,3,7,98108,47.5434,-122.29299999999999
6559,252750.0,4,1.0,1230,7410,1.5,0.0,0.0,3,7,98166,47.4798,-122.344
6560,745000.0,2,2.5,2170,7546,1.0,0.0,0.0,3,8,98053,47.7242,-122.03200000000001
6561,280000.0,3,2.0,1280,7633,1.0,0.0,0.0,3,7,98038,47.3883,-122.05
6562,535000.0,4,2.5,2240,6920,1.0,0.0,0.0,5,8,98146,47.5011,-122.375
6563,580000.0,4,1.5,1780,5100,1.0,0.0,0.0,3,7,98115,47.6944,-122.288
6564,301000.0,3,1.75,1840,7200,1.0,0.0,0.0,4,7,98055,47.456,-122.209
6565,600000.0,4,1.75,1740,7700,1.0,0.0,0.0,5,7,98008,47.6259,-122.111
6566,538900.0,5,3.0,3040,6604,2.0,0.0,0.0,3,9,98106,47.548,-122.35600000000001
6567,366000.0,3,2.5,2370,4375,2.0,0.0,0.0,3,8,98038,47.354,-121.999
6568,303000.0,4,2.5,2100,6783,2.0,0.0,0.0,3,8,98042,47.3504,-122.141
6569,432000.0,3,2.25,1470,1578,2.0,0.0,0.0,3,8,98136,47.5388,-122.387
6570,300000.0,2,1.5,1300,6120,1.0,0.0,0.0,3,6,98146,47.5088,-122.338
6571,908800.0,3,3.0,3420,7826,2.0,0.0,0.0,4,8,98144,47.5873,-122.29
6572,500000.0,3,1.5,1190,4750,1.0,0.0,0.0,3,7,98107,47.6726,-122.38600000000001
6573,254000.0,5,2.0,2080,16117,1.0,0.0,0.0,5,7,98001,47.3424,-122.289
6574,470000.0,5,1.5,2180,4268,1.5,0.0,0.0,4,7,98117,47.6848,-122.389
6575,480000.0,3,2.0,1460,7860,1.0,0.0,0.0,5,7,98008,47.6233,-122.10799999999999
6576,536000.0,3,1.75,1530,8503,1.0,0.0,0.0,4,7,98033,47.6872,-122.185
6577,1350000.0,4,3.5,4740,8611,2.0,0.0,3.0,3,11,98027,47.5375,-122.07
6580,284900.0,2,1.5,1160,982,2.0,0.0,0.0,3,7,98155,47.7675,-122.315
6581,740000.0,3,2.5,2200,3000,2.0,0.0,0.0,3,9,98109,47.6451,-122.35
6582,425000.0,2,1.0,1170,5000,1.0,0.0,0.0,4,7,98136,47.5449,-122.38799999999999
6583,230000.0,3,1.0,1120,7500,1.0,0.0,0.0,3,7,98146,47.5112,-122.359
6584,675000.0,3,1.5,1710,4000,2.0,0.0,0.0,3,8,98116,47.5714,-122.385
6585,267500.0,3,1.75,1650,7807,1.0,0.0,0.0,3,7,98030,47.3514,-122.167
6586,814000.0,4,2.5,2840,8820,1.0,0.0,2.0,5,8,98118,47.5542,-122.265
6587,1250000.0,4,3.0,3310,217800,1.5,0.0,0.0,3,9,98053,47.6616,-121.999
6588,460000.0,3,2.0,1860,7232,1.0,0.0,0.0,3,7,98125,47.7165,-122.319
6590,715000.0,3,2.5,2890,7027,2.0,0.0,0.0,3,8,98074,47.6111,-122.009
6591,425000.0,3,1.75,2120,5992,1.0,0.0,0.0,3,7,98125,47.7083,-122.30799999999999
6593,302000.0,2,1.75,1170,8200,1.0,0.0,0.0,4,6,98003,47.3263,-122.305
6594,453000.0,4,1.75,2120,7420,1.0,0.0,0.0,4,7,98008,47.6019,-122.13
6595,290000.0,3,1.75,1280,10716,1.0,0.0,0.0,4,7,98059,47.4755,-122.145
6596,1040000.0,4,2.5,3170,47502,2.0,0.0,0.0,3,10,98033,47.6495,-122.185
6597,925000.0,4,2.25,2260,41984,1.0,0.0,0.0,4,9,98033,47.6622,-122.171
6598,600000.0,3,1.75,2930,19876,1.0,0.0,0.0,3,9,98072,47.7443,-122.17
6599,354000.0,3,1.5,1060,5750,1.0,0.0,2.0,4,7,98126,47.5512,-122.37100000000001
6600,204950.0,4,1.75,1740,9344,1.0,0.0,0.0,3,7,98023,47.3196,-122.399
6601,675000.0,4,2.5,2990,5400,2.0,0.0,0.0,3,8,98074,47.6122,-122.009
6602,995000.0,4,3.25,3530,20012,2.0,0.0,0.0,3,11,98052,47.7193,-122.12700000000001
6603,800000.0,5,2.0,2960,10960,1.0,0.0,0.0,4,7,98005,47.6162,-122.17399999999999
6604,472500.0,3,2.5,1650,3711,2.0,0.0,0.0,3,8,98052,47.6863,-122.09299999999999
6605,549950.0,4,2.5,2720,13500,1.0,0.0,0.0,3,8,98007,47.6191,-122.145
6606,575575.0,3,1.75,1516,2897,1.0,0.0,0.0,3,7,98103,47.6842,-122.34100000000001
6608,340000.0,3,2.25,2580,7434,1.0,0.0,0.0,3,7,98133,47.7446,-122.33200000000001
6609,225000.0,3,1.0,960,5512,1.0,0.0,0.0,4,6,98056,47.4944,-122.165
6610,299950.0,2,1.75,1460,10506,1.0,0.0,0.0,3,7,98031,47.4048,-122.178
6612,340000.0,4,2.5,2090,4200,2.0,0.0,0.0,3,7,98038,47.3659,-122.01700000000001
6614,601000.0,4,2.5,2090,6906,2.0,0.0,0.0,4,8,98029,47.5718,-121.99600000000001
6615,470000.0,3,2.5,2070,8581,2.0,0.0,0.0,3,8,98059,47.5101,-122.15100000000001
6616,371500.0,3,1.0,1650,6400,1.0,0.0,0.0,4,7,98106,47.52,-122.365
6617,550000.0,3,1.75,1880,45738,1.0,0.0,0.0,4,8,98072,47.7662,-122.11399999999999
6618,242550.0,4,2.5,2060,7720,2.0,0.0,0.0,3,8,98023,47.2956,-122.374
6619,367500.0,3,1.5,1410,9647,1.0,0.0,0.0,3,8,98177,47.7608,-122.361
6620,359000.0,4,3.5,2770,8763,2.0,0.0,0.0,3,8,98003,47.2625,-122.30799999999999
6622,850000.0,4,2.75,5440,239580,1.0,0.0,0.0,2,9,98001,47.354,-122.29299999999999
6623,187000.0,3,1.5,1280,4452,2.0,0.0,0.0,3,6,98002,47.3344,-122.21600000000001
6624,326000.0,3,2.75,1720,28000,1.0,0.0,0.0,4,7,98058,47.4375,-122.176
6625,340000.0,3,2.75,1720,28000,1.0,0.0,0.0,4,7,98058,47.4375,-122.176
6626,330000.0,6,2.25,3040,28535,1.0,0.0,0.0,3,8,98030,47.3864,-122.223
6627,782000.0,4,3.5,3780,7769,2.0,0.0,0.0,3,9,98052,47.691,-122.12899999999999
6628,612000.0,4,2.5,2670,5974,2.0,0.0,0.0,3,8,98034,47.7122,-122.23100000000001
6629,400000.0,3,2.0,1350,7216,1.0,0.0,0.0,3,7,98177,47.7616,-122.365
6630,941500.0,5,3.5,3490,9680,2.0,0.0,4.0,3,9,98177,47.7757,-122.391
6631,313000.0,2,1.5,870,747,2.0,0.0,0.0,3,8,98103,47.6967,-122.34200000000001
6632,735000.0,4,2.25,2410,4250,1.5,0.0,0.0,5,7,98117,47.6849,-122.376
6633,471000.0,3,1.75,1640,10123,1.0,0.0,0.0,3,8,98011,47.7698,-122.167
6634,350000.0,3,1.0,1540,9800,1.0,0.0,0.0,4,7,98155,47.7604,-122.329
6636,415000.0,4,3.0,1830,9548,2.0,0.0,0.0,3,7,98028,47.7379,-122.22399999999999
6637,639500.0,4,2.25,2330,8994,2.0,0.0,0.0,3,8,98052,47.7264,-122.104
6638,580379.0,4,2.75,2240,27820,1.5,0.0,0.0,4,8,98075,47.5936,-122.054
6639,378000.0,2,2.5,1700,2513,2.0,0.0,0.0,3,8,98065,47.5163,-121.87799999999999
6641,212000.0,3,1.75,1100,9750,1.0,0.0,0.0,4,6,98023,47.2955,-122.36200000000001
6642,400000.0,4,3.0,2320,13068,2.0,0.0,2.0,3,8,98198,47.3497,-122.31700000000001
6644,384900.0,5,2.5,3090,12750,1.0,0.0,0.0,3,8,98023,47.3408,-122.335
6645,176000.0,2,1.0,770,5200,1.0,0.0,0.0,5,6,98042,47.3627,-122.087
6646,350000.0,3,2.75,2370,4632,2.0,0.0,0.0,3,7,98038,47.3794,-122.022
6647,168000.0,3,1.0,1200,7210,1.0,0.0,0.0,4,6,98030,47.3729,-122.18299999999999
6648,358000.0,4,2.0,2200,3060,1.0,0.0,0.0,3,7,98118,47.565,-122.28399999999999
6649,580000.0,3,2.75,2660,32757,1.0,0.0,0.0,4,8,98077,47.7649,-122.098
6651,515000.0,2,2.5,1330,1249,3.0,0.0,0.0,3,8,98105,47.6668,-122.285
6652,554000.0,5,2.5,3440,12900,1.0,0.0,2.0,4,8,98166,47.4426,-122.34200000000001
6653,659000.0,3,2.5,2510,6320,2.0,0.0,0.0,3,9,98075,47.5868,-122.03299999999999
6654,414999.0,4,2.5,2150,10098,1.0,0.0,0.0,3,7,98034,47.7166,-122.20100000000001
6655,275000.0,3,1.5,1180,10277,1.0,0.0,0.0,3,6,98045,47.488,-121.787
6656,193000.0,2,1.0,680,8640,1.0,0.0,0.0,4,5,98188,47.4559,-122.289
6657,525000.0,4,2.5,2840,4750,2.0,0.0,0.0,3,9,98058,47.4511,-122.12100000000001
6658,424000.0,3,2.5,1820,7500,2.0,0.0,0.0,3,8,98052,47.7155,-122.104
6659,455000.0,2,1.0,1070,5150,1.0,0.0,0.0,4,6,98117,47.6853,-122.366
6660,463000.0,2,1.0,1250,5650,2.0,0.0,1.0,4,7,98126,47.5495,-122.37700000000001
6661,1100000.0,4,2.5,2190,6300,1.0,0.0,3.0,3,7,98033,47.6918,-122.21600000000001
6662,523000.0,3,1.75,3000,5413,2.0,0.0,0.0,4,8,98115,47.6962,-122.31200000000001
6663,615000.0,4,1.75,2270,9830,1.0,0.0,0.0,4,8,98005,47.5999,-122.176
6664,1520000.0,4,4.0,4500,11795,2.0,0.0,0.0,3,12,98027,47.5533,-122.098
6665,870000.0,5,4.0,3400,5000,2.0,0.0,0.0,3,8,98107,47.6655,-122.363
6666,710000.0,3,2.5,2830,9680,2.0,0.0,0.0,3,10,98074,47.6249,-122.024
6667,215000.0,3,1.0,960,9563,1.0,0.0,0.0,5,7,98023,47.2864,-122.35700000000001
6668,590000.0,2,1.0,1530,6450,1.0,0.0,0.0,4,7,98117,47.6833,-122.398
6669,323000.0,5,2.5,2500,13034,1.0,0.0,0.0,3,7,98092,47.3343,-122.194
6670,279000.0,4,2.0,1560,7569,1.5,0.0,0.0,4,7,98058,47.4496,-122.155
6671,535100.0,3,2.25,2070,7207,1.0,0.0,0.0,3,8,98177,47.7735,-122.37100000000001
6672,830000.0,5,2.25,2710,19800,1.0,0.0,0.0,5,9,98005,47.5958,-122.175
6673,815000.0,4,2.5,3150,4203,2.0,0.0,0.0,3,9,98033,47.688,-122.164
6674,535900.0,3,2.25,1880,10880,1.0,0.0,0.0,3,8,98008,47.5937,-122.116
6675,230000.0,3,1.0,1250,8800,1.0,0.0,0.0,3,7,98146,47.497,-122.35700000000001
6676,325500.0,4,1.75,2290,8142,1.0,0.0,0.0,4,7,98055,47.4564,-122.211
6677,359000.0,3,2.25,1990,4331,2.0,0.0,0.0,3,7,98056,47.4917,-122.167
6678,505000.0,3,2.5,2100,5824,2.0,0.0,2.0,3,8,98065,47.5334,-121.867
6679,253905.0,3,1.0,940,8400,1.0,0.0,0.0,5,7,98056,47.5112,-122.167
6680,369950.0,3,1.75,1640,4860,1.0,0.0,0.0,3,8,98125,47.7125,-122.32
6681,350000.0,3,2.25,1860,8378,2.0,0.0,0.0,3,7,98038,47.3875,-122.03200000000001
6682,650000.0,4,2.25,2100,2500,3.0,0.0,0.0,3,8,98115,47.6726,-122.29799999999999
6683,295000.0,3,1.75,1500,15246,1.0,0.0,0.0,3,6,98070,47.4367,-122.463
6684,620000.0,3,1.75,1680,28046,1.0,0.0,3.0,3,8,98177,47.7648,-122.37
6685,2000000.0,2,2.5,3900,920423,2.0,0.0,0.0,3,12,98065,47.5371,-121.756
6686,246000.0,3,1.0,1400,7410,1.0,0.0,0.0,3,6,98166,47.4798,-122.34299999999999
6687,430000.0,3,2.75,2600,12860,1.0,0.0,0.0,3,7,98014,47.695,-121.91799999999999
6688,509990.0,3,2.0,1440,4859,2.0,0.0,0.0,2,6,98118,47.5503,-122.285
6689,490000.0,4,1.75,1870,9500,1.0,0.0,0.0,4,7,98033,47.7012,-122.18700000000001
6690,385000.0,4,2.75,2960,10454,1.0,0.0,1.0,3,8,98198,47.4006,-122.322
6691,769000.0,4,2.5,2440,6733,2.0,0.0,0.0,3,9,98074,47.6374,-122.064
6692,185000.0,2,1.0,1122,9100,1.0,0.0,0.0,4,6,98023,47.328,-122.34100000000001
6693,303500.0,3,1.5,1060,10464,1.0,0.0,0.0,4,7,98034,47.7313,-122.229
6695,449950.0,4,2.5,3100,10000,2.0,0.0,0.0,3,9,98042,47.3741,-122.15
6697,520000.0,4,2.5,2490,34947,2.0,0.0,0.0,3,9,98027,47.4823,-122.031
6698,203000.0,2,1.0,1080,9067,1.0,0.0,0.0,3,6,98168,47.4815,-122.331
6699,657000.0,5,2.5,2530,10190,1.0,0.0,0.0,4,7,98008,47.61600000000001,-122.115
6700,275000.0,3,1.0,1200,7800,1.0,0.0,0.0,4,7,98126,47.5196,-122.37100000000001
6702,455000.0,4,2.5,2950,4502,2.0,0.0,0.0,3,7,98059,47.5002,-122.15100000000001
6703,458500.0,2,1.75,1160,6828,1.0,0.0,0.0,3,7,98115,47.6937,-122.29799999999999
6704,549900.0,4,3.5,3420,4751,2.0,0.0,0.0,3,10,98055,47.4734,-122.193
6705,750000.0,3,1.75,2240,10578,2.0,0.0,0.0,5,8,98115,47.6954,-122.292
6706,235000.0,4,1.75,1450,8891,1.5,0.0,0.0,3,7,98168,47.478,-122.27799999999999
6707,286000.0,4,2.5,1820,7930,2.0,0.0,0.0,5,7,98038,47.358999999999995,-122.05
6708,2650000.0,4,3.5,4700,13730,2.0,0.0,3.0,3,11,98033,47.6899,-122.21700000000001
6709,602000.0,4,1.75,2430,14000,1.0,0.0,0.0,4,7,98052,47.6554,-122.134
6710,640000.0,3,1.5,1960,4080,1.5,0.0,0.0,3,7,98115,47.6768,-122.31
6711,267000.0,3,1.75,1440,10920,1.0,0.0,0.0,4,8,98030,47.3812,-122.16799999999999
6712,712000.0,4,2.5,2730,4385,2.0,0.0,0.0,3,8,98075,47.5975,-122.038
6714,301000.0,2,1.0,910,9000,1.0,0.0,0.0,3,5,98065,47.526,-121.81
6715,990000.0,4,2.5,2430,6325,2.0,0.0,0.0,4,8,98109,47.6413,-122.354
6716,739999.0,4,2.75,3350,6500,2.0,0.0,0.0,3,10,98075,47.5838,-122.027
6717,480000.0,4,1.75,2320,4322,1.0,0.0,0.0,3,7,98144,47.5755,-122.289
6718,305000.0,3,2.5,1260,1622,3.0,0.0,0.0,3,8,98133,47.7325,-122.34299999999999
6719,703300.0,3,2.0,1980,3525,1.5,0.0,0.0,4,8,98117,47.6847,-122.368
6720,265000.0,4,1.5,1580,8468,2.0,0.0,0.0,4,7,98001,47.3336,-122.281
6721,600000.0,4,2.5,2710,35009,2.0,0.0,2.0,3,9,98045,47.4815,-121.714
6722,253000.0,3,1.0,1400,9750,1.0,0.0,0.0,3,7,98198,47.3862,-122.304
6723,617950.0,4,2.5,2410,7950,2.0,0.0,0.0,3,8,98034,47.7185,-122.226
6724,385000.0,4,3.25,1790,2460,2.0,0.0,0.0,4,7,98106,47.534,-122.346
6725,319000.0,3,2.0,1640,9234,1.0,0.0,0.0,5,7,98118,47.5162,-122.274
6726,696000.0,3,2.5,1670,8023,1.0,0.0,0.0,5,7,98008,47.615,-122.117
6727,345000.0,2,1.0,970,5750,1.0,0.0,0.0,4,6,98126,47.5518,-122.37
6728,380000.0,3,2.5,1610,1778,3.0,0.0,0.0,3,7,98115,47.6902,-122.306
6731,269950.0,3,1.75,1400,7735,1.0,0.0,0.0,4,7,98038,47.357,-122.04
6732,875000.0,4,2.5,3470,32109,2.0,0.0,0.0,3,10,98077,47.7311,-122.036
6733,299950.0,3,1.0,1210,9525,1.0,0.0,0.0,3,7,98106,47.5274,-122.345
6734,1880000.0,4,3.25,3930,10929,2.0,0.0,0.0,3,10,98004,47.6259,-122.194
6735,430000.0,2,1.0,990,4802,1.0,0.0,0.0,3,7,98117,47.6876,-122.395
6736,495000.0,5,2.5,2200,4942,2.0,0.0,0.0,3,8,98029,47.5772,-122.001
6737,275000.0,3,1.5,1510,16200,1.0,0.0,0.0,3,7,98031,47.3926,-122.167
6738,333000.0,3,1.0,1620,5040,1.0,0.0,0.0,3,7,98118,47.5263,-122.286
6739,247000.0,3,2.25,1580,7941,2.0,0.0,0.0,4,7,98023,47.2843,-122.35700000000001
6740,204555.0,3,1.75,1260,15000,1.5,0.0,0.0,4,7,98092,47.2737,-122.15299999999999
6742,175000.0,3,1.75,1230,13056,1.0,0.0,0.0,4,7,98001,47.3171,-122.279
6744,286000.0,2,1.0,780,3475,1.0,0.0,0.0,4,5,98045,47.4944,-121.789
6745,320000.0,2,1.5,1110,1200,3.0,0.0,0.0,3,8,98103,47.6931,-122.34200000000001
6747,385000.0,4,1.75,1660,10757,1.0,0.0,0.0,3,7,98056,47.5071,-122.194
6748,1040000.0,4,1.0,3410,5000,2.0,0.0,0.0,5,8,98144,47.5807,-122.291
6749,350000.0,4,2.25,2390,13002,2.0,0.0,0.0,3,8,98023,47.3111,-122.35
6752,295000.0,3,1.0,1000,8320,1.0,0.0,0.0,5,6,98155,47.7548,-122.316
6753,969000.0,4,2.0,2450,5000,2.0,0.0,4.0,5,8,98116,47.5619,-122.405
6754,339888.0,4,1.75,1440,6144,1.0,0.0,0.0,5,6,98106,47.5257,-122.35700000000001
6755,269950.0,3,2.25,1660,7003,2.0,0.0,0.0,3,7,98030,47.3599,-122.18799999999999
6756,1190000.0,3,2.5,2510,4600,2.0,0.0,2.0,3,10,98034,47.7051,-122.223
6757,780000.0,4,2.5,3090,12511,2.0,0.0,0.0,4,10,98075,47.5932,-121.98299999999999
6758,198000.0,3,1.0,860,5185,1.0,0.0,0.0,4,6,98042,47.3634,-122.086
6759,350000.0,2,1.0,1220,28703,1.0,0.0,0.0,4,7,98056,47.4952,-122.17200000000001
6761,319000.0,4,2.25,2390,7350,2.0,0.0,0.0,3,8,98023,47.2938,-122.348
6762,311000.0,4,2.25,3340,8000,2.0,0.0,0.0,4,8,98023,47.317,-122.385
6763,394000.0,5,3.25,3620,4650,2.0,0.0,0.0,3,8,98038,47.3552,-122.02600000000001
6764,1340000.0,5,2.25,4200,5800,2.5,0.0,0.0,4,9,98112,47.6284,-122.31200000000001
6765,2700000.0,5,2.75,3831,13800,2.0,1.0,4.0,3,9,98040,47.5919,-122.251
6766,396000.0,3,1.0,1980,9540,1.0,0.0,0.0,3,7,98133,47.7551,-122.353
6767,809000.0,4,1.75,1790,8372,1.0,0.0,0.0,4,8,98033,47.6605,-122.189
6768,480000.0,3,2.0,1580,7400,1.0,0.0,0.0,3,7,98052,47.6715,-122.162
6769,535000.0,6,1.75,2460,6000,1.0,0.0,0.0,4,7,98115,47.6721,-122.323
6770,425000.0,5,2.75,2110,5120,2.0,0.0,0.0,3,7,98106,47.5294,-122.35700000000001
